,,,,,,,,,,,,
,NOMBRE,VENTA,COSTO,DESC %,DESC $,VENTA - DES,GANANCIA,ARPIA,VLQ,MG,,
,Saca las Garras,$360.000,$129.388,25%,$90.000,$270.000,$140.612,"$56.244,80","$42.183,60","$42.183,60",,
,Despertar,$240.000,$84.186,25%,$60.000,$180.000,$95.814,"$38.325,60","$28.744,20","$28.744,20",,
,Aelo,$110.000,$39.000,25%,$27.500,$82.500,$43.500,"$17.400,00","$13.050,00","$13.050,00",,
,Blusa ML,$90.000,$21.500,25%,$22.500,$67.500,$46.000,"$18.400,00","$13.800,00","$13.800,00",,
,Celeno,$65.000,$13.000,25%,$16.250,$48.750,$35.750,"$14.300,00","$10.725,00","$10.725,00",,
,Blusa MC,$80.000,$15.200,25%,$20.000,$60.000,$44.800,"$17.920,00","$13.440,00","$13.440,00",,
,Ocipete,$95.000,$26.000,25%,$23.750,$71.250,$45.250,"$18.100,00","$13.575,00","$13.575,00",,
,,,$328.274,,,$330.000,$451.726,"$180.690,40","$135.517,80","$135.517,80",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,NOMBRE,VENTA,COSTO,DESC %,DESC $,VENTA - DES,GANANCIA,ARPIA,VLQ,MG,,
,Saca las Garras,$360.000,$129.388,30%,$108.000,$252.000,$122.612,"$49.044,80","$36.783,60","$36.783,60",,$18.000
,Despertar,$240.000,$84.186,30%,$72.000,$168.000,$83.814,"$33.525,60","$25.144,20","$25.144,20",,$12.000
,Aelo,$110.000,$39.000,30%,$33.000,$77.000,$38.000,"$15.200,00","$11.400,00","$11.400,00",,$5.500
,Blusa ML,$90.000,$21.500,30%,$27.000,$63.000,$41.500,"$16.600,00","$12.450,00","$12.450,00",,$4.500
,Celeno,$65.000,$13.000,30%,$19.500,$45.500,$32.500,"$13.000,00","$9.750,00","$9.750,00",,$3.250
,Blusa MC,$80.000,$15.200,30%,$24.000,$56.000,$40.800,"$16.320,00","$12.240,00","$12.240,00",,$4.000
,Ocipete,$95.000,$26.000,30%,$28.500,$66.500,$40.500,"$16.200,00","$12.150,00","$12.150,00",,$4.750
,,,$328.274,,,$308.000,$399.726,"$159.890,40","$119.917,80","$119.917,80",,
