,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,MATERIAL,,CANTIDAD,,HERRAJES ,,CANTIDAD,,PRENDAS,,,PRECIO VENTA,TALLA,INICIAL,VENTAS,FINAL
,Encaje negro sin pelitos,,11 mts,,Argollas grandes ,,78,,Conjunto bicolor,,Celeno: suele traducirse como “la oscura” o “nube de tormenta”,$75.000,S,3,0,3
,Tela entrepierna negra,,3 mts,,* Argollas Medianas ,,120,,,,,,M,3,0,3
,Tela entrepierna blanca,,60 cms,,* Argollas Pequeñas ,,100,,,,,,L,2,0,2
,Encaje blanco chantilli (pelitos) para bicolor,,"9,5 mts",,* Ochos Grandes ,,6,,Conjunto bicolor,,,,(EN PROCESO),,,
,Encaje negro chantilli (pelitos) para bicolor,,"9,5 mts",,* Ochos Medianos,,44,,,,,,,,,
,Tira de brasier blanca,,7 mts,,* Ochos Pequeños ,,190,,Bustier encaje negro,,"Ocípete: significa “la de vuelo rápido”, relacionada con la velocidad del viento",$95.000,32 (XS),,0,0
,Contorno para Bustier negro 2 cm ancho,,19 Mts ,,* Gancho G grandes,,10,,,,,,34 (S),1,0,1
,Tapa varilla Negro #1,,9 mts,,* Gancho G Medianos ,,134,,,,,,36 (M),2,0,2
,Tapa varilla Negro #2  ,,10 Mts,,* Ganchos G Pequeños ,,84,,,,,,38 (L),,,0
,Elástico de contorno de 1 cm blanco,,"6,5 mts",,Varilla copa brasier talla 30,,50,,tanga encaje negro,,,,S,1,0,1
,Tapa Costura Negro,,11 mts,,Varilla copa brasier talla 32,,50,,,,,,M,2,0,2
,Elastico plano negro,,10 mts,,Varilla copa brasier talla 34,,50,,,,,,L,,,0
,Elastico plano blanco,,10 mts,,Varilla copa brasier talla 36,,50,,Corset encaje rojo pastel,,"Aelo: su nombre se asocia con la tormenta o el viento furioso,",$110.000,32 (XS),,,0
,Tira de brasier negra,,10 mts,,Variila plastica cortada 18cms,,200,,,,,,34 (S),1,0,1
,Sesgo de 2cm blanco,,10 mts,,,,,,,,,,36 (M),1,0,1
,Sesgo de 2cm negro,,6 mts,,,,,,,,,,38 (L),,,0
,Mallatex negra ,,3 mts,,,,,,tanga encaje rojo pastel,,,,S,3,0,3
,Mallatex blanca,,3 mts,,,,,,,,,,M,2,0,2
,Ref 100 24 cm tul bordado negro,,39 mts,,,,,,,,,,L,2,0,2
,Ref 159 24 cm tul bordado rojo pastel,,21 mts,,,,,,Blusa maya estampada garra manga corta,,Arpía,$80.000,XS,2,0,2
,,,,,,,,,,,,,S,2,0,2
,,,,,,,,,,,,,M,3,0,3
,,,,,,,,,,,,,L,1,0,1
,,,,,,,,,Blusa maya estampada garra manga larga,,,$90.000,XS,1,0,1
,,,,,,,,,,,,,S,1,0,1
,,,,,,,,,,,,,M,1,0,1
,,,,,,,,,,,,,L,1,0,1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,TOTAL,35,0,35
