,,,,,,,,,,,
Cantidad,Producto,Costo,Fecha,Provedor,,,INVERSION MARZO MARGARA,$2.720,,,
1,restante maquinas industriales,$1.099.000,08/02/2024,SINGER,,,Cantidad,Producto,Costo,Fecha,Provedor
1,Folder sesgo para plana,$45.000,08/02/2024,Brother ,,,1,kit cortadores rotativos,$131.150,04/06/2024,amazon
50 cm,mallatex negro,$4.000,08/02/2024,textiles F&M,,,1,silla cajero,300000,04/06/2024,homecenter
50cm,mallatex rosa,$4.000,08/02/2024,textiles F&M,,,1,patron brasier,36000,04/06/2024,Etsy
50 x 280 cm,malla piel,$11.500,08/02/2024,mil telas,,,1,curso lenceria,326.730,04/06/2024,
4 m,forro varilla piel,$4.000,08/02/2024,Dora Estela ,,,1,impresion patrones,150000,04/06/2024,La guillotina
4 m,forro varilla negro,$4.000,08/02/2024,Dora Estela ,,,,licras lencería ,30100,04/06/2024,telas Medellín 
4 m,tira brasier negro,$3.200,08/02/2024,Dora Estela ,,,,insumos curso lencería ,170000,04/06/2024,kilotelas
4 m,tira brasier piel,$3.200,08/02/2024,Dora Estela ,,,,insumos curso lencería ,63300,04/06/2024,corsetería 
24,herrajes en forma 8 / G,$4.800,08/02/2024,Dora Estela ,,,,accesorios maquinas,153000,04/06/2024,amazon
4,sesgo 2 cm piel,$2.400,08/02/2024,Dora Estela ,,,,planchuela fileteadora,25000,04/06/2024,
4,sesgo 2 cm negro,$2.400,08/02/2024,Dora Estela ,,,,mallatex vino,12000,04/06/2024,
6,Gafetes,$4.800,08/02/2024,Dora Estela ,,,TOTAL,,$1.397.280,,
,Encajes,41000,29/06/2024,kilotelas,,,,,,,
,varios retazos,$52.000,29/06/2024,,,,,,,,
,configuracion tecnico maquinas,200000,03/07/2024,,,,,,,,
,papeleria + oraganizacion,$100.000,13/07/2024,Dollarcity,,,INVERSION OCTUBRE MARGARA,$597.966,,,
,Piel de durazno + tejido de punto,$22.400,16/07/2024,grupo textil moda,,,,,,,
,Encaje y elasticos,18900,16/07/2024,,,,,,,,
,maniqui ,$150.000,22/07/2024,,,,,,,,
,encaje bicolor,$27.000,28/08/2024,,,,,,,,
1,Maquina Zigsiadora Industrial,$2.200.000,16/01/2025,,,,TOTAL INVERSION ,$5.998.846,,,
,,,,,,,,,,,
,total,$4.003.600,,,,,OTROS GASTOS,,,,
,,,,,,,Cantidad,Producto,Costo,Fecha,Provedor
,,,,,,,,Sellos Arpia ,$154.000,08/10/2024,
,,,,,,,,Hilos + Hilazas,62500,08/10/2024,
,,,,,,,10 mts,Encaje negro,27000,08/10/2024,
,,,,,,,10 mts,encaje blanco ,27000,08/10/2024,
,,,,,,,10 mts,Tira brasier negro,6000,08/10/2024,
,,,,,,,10 mts,Tira brasier blanco,6000,08/10/2024,
,,,,,,,127,gafete 3x2 blanco,45466,17/10/2024,sesgocolor
,,,,,,,100,gafete 3x2 negro,35800,17/10/2024,sesgocolor
,,,,,,,200,varilla plastica cortada 18 cm,28.800,23/10/2024,auratex
,,,,,,,50,ARCO METALICO 2001 30,12.350,23/10/2024,auratex
,,,,,,,50,ARCO METALICO 2001 32,12.350,23/10/2024,auratex
,,,,,,,50,ARCO METALICO 2001 34,12.350,23/10/2024,auratex
,,,,,,,50,ARCO METALICO 2001 36,12.350,23/10/2024,auratex
,,,,,,,,envio,16500,23/10/2024,
,,,,,,,,envio,16500,23/10/2024,
,,,,,,,,iva ,14.858,23/10/2024,
,,,,,,,,HILAZAS cono amarillo,15000,23/10/2024,
,,,,,,,1O MTS,FRAMILON,5500,23/10/2024,
,,,,,,,10 MTS,SESGO ELASTICO,4500,23/10/2024,
,,,,,,,5 kilos,Tela control blanca,255800,23/10/2024,Teks
,,,,,,,100 ml,fragancia ,12000,23/10/2024,
,,,,,,,,gafetes +arandelas,21350,23/10/2024,gerrajes
,,,,,,,12,bolsas tul 12 x 17,10200,23/10/2024,las 3 b
,,,,,,,,HOSTING ARPIA ,382360,02/02/2025,
,,,,,,,,Decoracion fotos Arpia,108000,05/01/2025,
,,,,,,,,Bono celeste trabajo,200000,05/01/2025,
,,,,,,,,Bono margara trabajo,400000,05/01/2025,
,,,,,,,20 mts,Encaje Blanco y negro para bicolor,80000,05/01/2025,
,,,,,,,2 mts,Encaje bordado blanco y negro,30000,05/01/2025,
,,,,,,,10 mts,sesgo lorex blanco,9500,05/01/2025,
,,,,,,,10 mts,sesgo lorex negro,9500,05/01/2025,
,,,,,,,3 mts,malla piel negro,37500,05/01/2025,
,,,,,,,6 mts,Mallatex blnaco y negro,75000,05/01/2025,
,,,,,,,10 mts,Framilon blanco y negro,9000,05/01/2025,
,,,,,,,10 mts,Tira de brasier negro,6000,05/01/2025,
,,,,,,,,herrajes,20000,05/01/2025,
,,,,,,,,Alfileres,6000,05/01/2025,
,,,,,,,,Refri,15000,05/01/2025,
,,,,,,,,Revision maquina,50000,05/01/2025,
,,,,,,,,prestamo margara,150000,05/01/2025,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,$2.402.034,,
