,,,,,,,,,,,,,
Cantidad,Producto,,Costo,Fecha,Provedor,Direccion ,,,,,,,
1,Termofijadora,,$960.000,17/03/2023,,,,,,,,,
4,camisetas:2 croptop 2 camiseta hombre (algodon peinado 155 gr/ tela fria 165 gr 40-1),,$61.000,14/04/2023,zuretex,,,,,,,,
4,camisetas: 2 croptop 2 camisetas hombre (algodon pima peruano 190 gr),,$194.000,17/04/2023,C+basics,,$48.500,,,,,,
1,Madera + tornillos,,$354.500,22/07/2023,HomeCenter,,,,,,,,
1,Reglas Modisteria,,$37.600,23/07/2023,MercadoLibre,,,,,,,,
1,Teflon 40 X 60,,$72.000,31/07/2023,MercadoLibre,,,,,,,,
1,Cinta Térmica X 5,,$43.830,31/07/2023,MercadoLibre,,,,,,,,
1,Hosting y dominio,,$283.360,05/02/2024,ColombiaHosting,,,,,,,,
1,Maquina plana Industrial,,$2.367.000,05/02/2024,SINGER PEREIRA,,,,,,,,
1,Maquina Collarin industrial,,$2.367.000,05/02/2024,SINGER PEREIRA,,,,Herrajes,,,,
1,Maquina Filetiadora Industrial,,$2.367.000,05/02/2024,SINGER PEREIRA,,,,Producto,Largo CMS,Ancho CMS,Valor,Unitario
,,,,,,,,,Tensor 8 de 8mm,100,1,$6.600,"$66,00"
4 mts,Elastico de Contorno,,$8.000,17/02/2024,Kilotelas,Cr 6 # 16 - 15,,,Tensor 8 de 10mm,100,1,$7.000,"$70,00"
50 mts,Franela color piel,,$6.250,17/02/2024,Kilotelas,Cr 6 # 16 - 15,,,Zeta 2-19 20 mm,12,1,$4.300,"$358,33"
50 mts,Franela color negro,,$6.250,17/02/2024,Kilotelas,Cr 6 # 16 - 15,,,Zeta de 10 mm,100,1,$10.200,"$102,00"
4 mts,Velo surcido negro,,$6.000,17/02/2024,Las 3BBB premium,Cl 17 # 7 - 33,,,Argolla 10 mm,100,1,$7.200,"$72,00"
4 mts ,Elastico Trenzado (7 mm),,$3.400,17/02/2024,Las 3BBB premium,Cl 17 # 7 - 33,,,Hilaza negra ,1,1,$9.300,"$9.300,00"
4mts ,Elastico eljowoo15,,$7.800,17/02/2024,Las 3BBB premium,Cl 17 # 7 - 33,,,Tapavarilla negro 10 mts,1.000,1,$9.000,"$9,00"
1 mts,Encaje elastico negro,,$7.600,17/02/2024,Las 3BBB premium,Cl 17 # 7 - 33,,,Sesgo Elastico 10 mts,1.000,1,$6.300,"$6,30"
100 gms,Hilaza venus negro,,$3.000,17/02/2024,Hilos y suministros Ltda,Cl 15 #6 -26,,,Elastico contorno negro 2cm 10 mts,1.000,2,$18.000,"$9,00"
